id,name,pf,publication_id,title
72,"deep learning",84.28510166999999,6468916,"Boltzmann Machines for Image Denoising"
73,cad,551.646177707,9640378,"MODELING OPTICAL MEM SYSTEMS"
74,"virtual machine",465.476971851,11554108,"Memory safety for low-level software/hardware interactions"
75,"computational geometry",312.59997037,1185165,"Convex Hulls and Related Problems in Data Streams"
76,"cloud computing",19.8024904378,1748331,"Remote Procedure Calls and the Client/Server Model"
77,"domain knowledge",15.204183229500002,1950090,"Probabilistic Stream Relational Algebra: A Data Model for Sensor Data Streams"
78,"lung cancer",618.774231,26808688,"Tool support for authoring eligibility criteria for cancer trials."
79,"ensemble learning",28.580935031499997,14024944,"Decision tree and ensemble learning algorithms with their applications in bioinformatics."
80,"gene expression",707.42893985,7007256,"Computational systems biology methods to study alzheimer's disease"
81,"data mining",334.55238091200005,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
82,"data mining",21.644525408,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
83,"gene expression",186.039712116,7007256,"Computational systems biology methods to study alzheimer's disease"
84,cancer,51.8547750048,1552158,"Phenomenological Models for Intraoperative Positron Emission Surface Imaging using Handheld Probes"
85,diagnosis,320.93372148599997,2945316,"A robust method for hybrid diagnosis of complex systems"
86,"image analysis",106.19639330999999,13786964,"Image Shape Features"
87,"heart rate variability",65.620046046,198730070,"Association between heart rate variability and manual pulse rate."
88,learning,0.5379501961259999,318662,"Learning classical physics"
89,"social network",128.171901952,29935650,"Modeling Spread of Disease from Social Interactions"
90,"user study",15.985371088499999,706544,"Improving Accessibility of Transaction-centric Web Objects."
91,"social network",241.01107163000003,29935650,"Modeling Spread of Disease from Social Interactions"
92,rfid,91.488491325,5798129,"Unidirectional key distribution across time and space with applications to RFID security"
93,"big data",13.2238154139,2049211,"Big Data Frequent Pattern Mining"
94,"information hiding",449.189427204,87187439,"Deterministic parallel FORTRAN"
95,diagnosis,0.514935336765,2945316,"A robust method for hybrid diagnosis of complex systems"
96,"mutual information",74.34570091199998,1367335,"An evaluation of using mutual information for selection of acoustic-features representation of phonemes for speech recognition"
97,"deep learning",87.118454024,6468916,"Boltzmann Machines for Image Denoising"
98,"data mining",90.80914788,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
99,heuristics,149.21234589099998,2583478,"Presence Traffic Optimization Techniques"
100,crowdsourcing,52.62117661799999,1221552,"CrowdMAC: a crowdsourcing system for mobile access"
101,fpga,0.270524570833,37175462,"Saliency on a chip: a digital approach with an FPGA"
102,"artificial intelligence",184.05364390399998,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
103,"decision trees",1.0256618077200002,2331017,"Planning in Decentralized POMDPs with Predictive Policy Representations"
104,"parallel computing",84.017580675,6572721,"The portability of parallel programs across MIMD computers"
105,privacy,22.2595563954,1152574,"Energy savings in privacy-preserving computation offloading with protection by homomorphic encryption"
106,smartphone,196.369141693,30726166,"The shy mayor: private badges in geosocial networks"
107,"social networks",184.755178212,7077119,"Modeling and analysis of massive social networks"
108,"software architecture",237.180187213,245032,"A software architecture for multithreaded and multiprotocol distributed applications"
109,"high performance computing",38.298409076700004,3604530,"High performance computing for dna sequence alignment and assembly"
110,routing,584.490145153,2225560,"ADAPTIVE FAULT-TOLERANT ROUTING"
112,"linear logic",14.162704555500001,28296052,"Structural Cut Elimination in Linear Logic."
113,"software development",78.482716506,1114769,"Recognizing Patterns for Software Development Prediction and Evaluation"
114,"wireless communication",18.1695521462,1793755,"Controlled mobility in sensor networks"
115,"parallel algorithms",758.90919136,791572,"Parallelizing the spectral transform method: A comparison of alternative parallel algorithms"
116,"artificial intelligence",657.096713532,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
117,semantics,49.987534968,267417,"Continuation Semantics in Typed Lambda-Calculi (Summary)"
118,"symbolic execution",345.29370281399997,27509964,"Efficient Directionless Weakest Preconditions (CMU-CyLab-10-002)"
119,"user experience",6.74883362284,6750778,"Domical: a new cooperative caching framework for streaming media in wireless home networks"
120,teaching,2.74753889729,755599,"Lessons Learned from Teaching Open Source Software Development"
121,authentication,122.57674318599999,6751686,"Abusing notification services on smartphones for phishing and spamming"
122,"convolutional neural network",2566.7324892,830575572,"Understanding Intra-Class Knowledge Inside CNN"
123,multimedia,171.37279988499998,1497272,"Scoring an Interactive, Multimedia Performance Work"
124,"temporal logic",2354.6542422,23603061,"Planning and Control"
125,education,34.92518361930001,516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis"
126,animation,43.529488586999996,9266095,"Look me in the Eyes: A Survey of Eye and Gaze Animation for Virtual Agents and Artificial Systems"
127,"safety property",353.105600509,336805188,"Decomposing Properties into Safety and Liveness Using Predicate Logic."
128,music,184.08380744200002,1497272,"Scoring an Interactive, Multimedia Performance Work"
129,authentication,118.71153182299999,6751686,"Abusing notification services on smartphones for phishing and spamming"
130,"empirical study",93.3030808,520826,"More than speed? an empirical study of touchscreens and body awareness on an object manipulation task"
131,"motion planning",282.37883827999997,2881148,"Solving motion planning problems by iterative relaxation of constraints"
132,"artificial neural networks",559.99304613,16580154,"On sensor evolution in robotics"
133,"data mining",2429.67721352,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
134,blockchain,56.3326494526,1879433355,"From Pretty Good to Great: Enhancing PGP Using Bitcoin and the Blockchain"
135,scheduling,110.100038955,1709540,"An Extended Fixed Priority Scheme for Mixed Criticality Systems"
136,"deep learning",402.95544276,6468916,"Boltzmann Machines for Image Denoising"
137,"approximation algorithms",761.82717312,4907163,"The Promise of LP to Boost CSP Techniques for Combinatorial Problems"
138,education,48.24367212210001,516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis"
139,"time complexity",60.39313565999999,3785117,"Method and system for reconciling remote data"
140,"ubiquitous computing",3530.2842729599997,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
141,"data mining",576.530634533,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
142,"power consumption",468.201558384,287008,"A Compiler Framework for Supporting Speculative Multicore Processors"
143,"wireless sensor networks",136.416640204,11088318,"Geometric Routing in Wireless Sensor Networks"
144,"message passing",360.003430746,8607506,"Modularity, reuse and efficiency with message-driven libraries"
145,internet,2448.00377955,21366,"Improving client throughput with multi-hop relaying in wireless mesh networks"
146,"wireless sensor networks",451.98175757,11088318,"Geometric Routing in Wireless Sensor Networks"
147,"polynomial time",657.106140816,2339302,"A computational analysis of human genetic variation"
148,"approximation algorithm",73.521624224,3973702,"Approximation Algorithm for the Max k-CSP Problem."
150,"type theory",508.236377775,11150396,"Proof Transformations in Higher-Order Logic"
151,"combinatorial optimization",124.864137988,12376488,"The new faces of combinatorial optimization"
152,"simulated annealing",471.41094862500006,10816777,"Power-density aware floorplanning for reducing maximum on-chip temperature"
153,"linear programming",47.6916642598,5951450,"Sensor fusion techniques for cooperative localization in robot teams"
154,innovation,0,5537492,"Creativity Support Tools: A Grand Challenge for HCI Researchers"
155,"logic programming",52.3420528008,3733054,"Causal action theories and satisfiability planning"
156,"social networks",576.530634533,7077119,"Modeling and analysis of massive social networks"
157,"computer vision",2221.78768482,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
159,"deep learning",129.807756625,6468916,"Boltzmann Machines for Image Denoising"
160,xml,80.8850392,3067635,"On the Merging of Geometric Models Based on Hierarchical Context"
161,"constraint satisfaction problem",93.00423020699999,84102385,"Superresolution and P-Optimality in Boolean MAX-CSP Solvers"
162,"computer vision",68.09447874600001,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
163,mimo,100.45453132399999,1680008,"Frame Delay Through ATM Switches: MIMO Latency"
164,"big data",218.83885158,2049211,"Big Data Frequent Pattern Mining"
165,"computer vision",483.30489395999996,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
166,scheduling,25.298048200000004,1709540,"An Extended Fixed Priority Scheme for Mixed Criticality Systems"
167,concurrency,93.717291424,777162,"Object-oriented Programming Languages Need Well-founded Contracts"
168,"average degree",6.328749361499999,77267342,"Efficient computation of balanced structures"
169,"search space",41.1429748775,4356963,"Path enumeration & redundancy removal for timing optimization"
170,"artificial intelligence",1487.08849982,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
171,"intrusion detection",280.73131687299997,4333350,"A Multi-graph Spectral Framework for Mining Multi-source Anomalies"
172,"polynomial time",470.946168462,2339302,"A computational analysis of human genetic variation"
173,"knowledge base",3278.8550025000004,706544,"Improving Accessibility of Transaction-centric Web Objects."
174,"user interface",51.0699692405,230160,"Integrating provenance into an operational data product information system"
175,"main memory",484.507717376,7491082,"Architectural support for efficient on-chip parallel execution"
179,"sensor networks",183.139282761,1793755,"Controlled mobility in sensor networks"
180,redundancy,0.14819973375999998,69399,"Automatically proving the correctness of program analyses and transformations"
181,"sequent calculus",414.110910786,11150396,"Proof Transformations in Higher-Order Logic"
183,"data structure",286.138565695,1132801,"Understanding coreference in a system for solving physics word problems"
184,"polynomial time",162.513676234,2339302,"A computational analysis of human genetic variation"
185,"parallel programming",20.5494378038,2394243,"Performance prediction of parallel programs"
186,"approximation algorithms",718.5912621,4907163,"The Promise of LP to Boost CSP Techniques for Combinatorial Problems"
187,"artificial intelligence",193.900998186,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
189,education,39.9757315794,516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis"
190,"hidden markov models",142.00883448,9464255,"A Preliminary Investigation of Hierarchical Hidden Markov Models for Tutorial Planning."
191,"mobile phone",140.891927904,9607434,"Quantifying reciprocity in large weighted communication networks"
192,"polynomial time",204.489024201,2339302,"A computational analysis of human genetic variation"
193,"speech recognition",202.67184867999998,18310804,"A Reverse Turing Test using speech"
194,"cloud computing",32.4069065575,1748331,"Remote Procedure Calls and the Client/Server Model"
195,"nash equilibrium",909.90637975,28155157,"Satisficing and learning cooperation in the prisoner's dilemma"
196,"cloud computing",1697.7924376899998,1748331,"Remote Procedure Calls and the Client/Server Model"
197,"software architecture",402.201009168,245032,"A software architecture for multithreaded and multiprotocol distributed applications"
198,"gene expression",3025.71398774,7007256,"Computational systems biology methods to study alzheimer's disease"
199,"modal logic",319.50494021500003,8942334,"Functional programming with names and necessity"
200,"cloud computing",167.09388889600004,1748331,"Remote Procedure Calls and the Client/Server Model"
201,"sensor network",675.47257732,1849638,"Processing data streams"
202,"file system",342.35613091500005,10485164,"The Cambridge CAP Computer"
203,"software architecture",2569.07694982,245032,"A software architecture for multithreaded and multiprotocol distributed applications"
204,"cloud computing",145.89030441,1748331,"Remote Procedure Calls and the Client/Server Model"
205,"fault tolerance",179.29656072999998,4013337,"Proactive Fault Tolerance in Large Systems"
206,navigation,1904.4643161600002,637249,"Intraoperative three-dimensional fluoroscopic cholangiography"
207,heuristics,372.802757922,2583478,"Presence Traffic Optimization Techniques"
208,"pervasive computing",306.168580542,21477827,"Web-Based Integrated Service Discovery Using Agent Platform for Pervasive Computing Environments"
209,learning,75.2037126323,318662,"Learning classical physics"
210,"cellular automaton",195.902446485,30245698,"Dna based self-assembly and nano-device: theory and practice"
211,"health care",23.4016179072,6872711,"Signal, Image Processing, and Machine Learning: The Key to Complex Problems in Medicine and Biology"
212,"nonmonotonic reasoning",92.450848698,15228106,"A maximum entropy approach to nonmonotonic reasoning"
213,"artificial intelligence",1355.2824355,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
214,network,6.020007189,17151395,"Invited Address II"
215,"deep learning",172.60757340799998,6468916,"Boltzmann Machines for Image Denoising"
216,"artificial intelligence",487.10214623999997,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
217,"natural language processing",118.36874839499998,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
218,privacy,18.70111696,1152574,"Energy savings in privacy-preserving computation offloading with protection by homomorphic encryption"
219,"software engineering",857.8036396800001,4247079,"Software Architecture and Object-Oriented Systems"
220,"approximation algorithms",273.33618695999996,4907163,"The Promise of LP to Boost CSP Techniques for Combinatorial Problems"
221,"social media",459.204548387,9991798,"Personality Modeling Based Image Recommendation"
222,cryptography,22.7377300626,3168804,"Two-Party Computation Model for Privacy-Preserving Queries over Distributed Databases."
223,"reinforcement learning",779.26872824,361876,"Rational and convergent learning in stochastic games"
224,"approximation algorithm",874.96650368,3973702,"Approximation Algorithm for the Max k-CSP Problem."
225,"pattern recognition",36.61662414440001,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
226,transportation,483.019771932,3745469,"The Design and Implementation of the TRAINS-96 System: A Prototype Mixed-Initiative Planning Assistant"
227,"decision making",8.6592640337,235611,"VIRTUALLY PERFECT TIME SHARING IN DUAL-TASK PERFORMANCE:"
228,"java virtual machine",2945.8882346299997,3667069,"A safe and efficient machine-independent code transportation format based on static single assignment form and applied to just-in-time compilation"
229,replication,55.440678464899996,13511228,"The Crystal Robot: Implementation and Demonstration."
231,children,423.69334717099997,3087109,"The International Children's Digital Library"
232,diffusion,413.6379907660001,4633159,"Using the Bhattacharyya Mean for the Filtering and Clustering of Positive-Definite Matrices"
233,"big data",40.8833879311,2049211,"Big Data Frequent Pattern Mining"
234,"polynomial time",759.2852147200001,2339302,"A computational analysis of human genetic variation"
236,synthesis,85.92428285099999,4126978,"Representation and synthesis of melodic expression"
237,design,311.028544291,10205525,"Analysis of Gear Tooth Performance of Mechanically-Coupled, Outer-Rotor Polysilicon Micromotors"
238,diameter,7.42555184,11069924,"The diameter of nearest neighbor graphs"
239,interactions,103.950840818,4611173,"Cooperation in heterogeneous populations"
240,programming,306.96267167999997,2337330,"Active imitation learning"
241,"computer simulation",359.09255617200006,16222022,"A Programmatic Theory of Linguistic Performance"
242,"nonlinear systems",489.722372964,13351948,"Newton’s Method and Gauss-Kronrod Quadrature"
243,"approximation algorithms",883.6189521,4907163,"The Promise of LP to Boost CSP Techniques for Combinatorial Problems"
244,"activity recognition",41.559113063999995,7859433,"Spatio-Temporal phrases for activity recognition"
245,fmri,1315.9220690000002,421218,"Recent Psychophysical and Neural Research in Shape Recognition"
246,"artificial intelligence",260.72907041999997,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
247,"social media",78.2284559,9991798,"Personality Modeling Based Image Recommendation"
248,"high performance computing",253.714923812,3604530,"High performance computing for dna sequence alignment and assembly"
249,"data mining",300.99274774400004,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
250,"parallel processing",46.1834514658,2140723,"Large-scale and high-throughput pattern matching on parallel architectures"
251,heuristics,620.96900184,2583478,"Presence Traffic Optimization Techniques"
252,internet,366.972433272,21366,"Improving client throughput with multi-hop relaying in wireless mesh networks"
253,"synthetic aperture radar",48.842442338400005,12559991,"Opportunities for Using the EOS Imaging Spectrometers and Synthetic Aperture Radar in Ecological Models"
255,semantics,17.162177652,267417,"Continuation Semantics in Typed Lambda-Calculi (Summary)"
256,"grid computing",267.18974900800004,1185165,"Convex Hulls and Related Problems in Data Streams"
257,autism,10.380251144699999,15751264,"Toward Therapist-in-the-Loop Assistive Robotics for Children with Autism and Specific Language Impairment"
258,innovation,14.7910416192,5537492,"Creativity Support Tools: A Grand Challenge for HCI Researchers"
259,"artificial intelligence",614.4309043,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
260,"social media",194.99398992,9991798,"Personality Modeling Based Image Recommendation"
261,"human-computer interaction",214.68903577,5537492,"Creativity Support Tools: A Grand Challenge for HCI Researchers"
262,"energy consumption",10.3704381336,224605,"Energy Measurement of SPDY Protocol on Mobile Platform"
263,"mutual information",403.427303136,1367335,"An evaluation of using mutual information for selection of acoustic-features representation of phonemes for speech recognition"
264,heuristics,286.37971551,2583478,"Presence Traffic Optimization Techniques"
265,workload,148.28381130999998,606208,"Range Scaling of Wirelessly Powered Sensor Systems"
266,"polynomial time",320.995525505,2339302,"A computational analysis of human genetic variation"
267,android,248.17885761000002,1221552,"CrowdMAC: a crowdsourcing system for mobile access"
268,internet,32.4592704375,21366,"Improving client throughput with multi-hop relaying in wireless mesh networks"
269,"transfer learning",21.8078972306,72798631,"Transfer Learning by Discovering Latent Task Parametrizations"
270,"human-computer interaction",114.17153220899999,5537492,"Creativity Support Tools: A Grand Challenge for HCI Researchers"
271,"mobile robot",113.43486571199999,2092921,"Robust Monte-Carlo localization using adaptive likelihood models"
272,"information visualization",48.88022639580001,21707824,"Graphics Interface 2007 : Montréal, Canada, May 28-30, 2007 : proceedings"
273,"energy efficiency",85.962929648,606208,"Range Scaling of Wirelessly Powered Sensor Systems"
274,"bipartite graph",74.304203856,7077119,"Modeling and analysis of massive social networks"
275,"signal processing",816.68080746,938295,"Signal Processing for Audio HCI"
276,management,256.42535035,1795725,"Workflow Management in Condor"
277,internet,182.849308371,21366,"Improving client throughput with multi-hop relaying in wireless mesh networks"
279,autism,344.801360358,15751264,"Toward Therapist-in-the-Loop Assistive Robotics for Children with Autism and Specific Language Impairment"
280,"machine learning",62.6207998756,149980,"UNT: A Supervised Synergistic Approach to Semantic Text Similarity"
281,"approximation algorithms",175.71908161,4907163,"The Promise of LP to Boost CSP Techniques for Combinatorial Problems"
282,"user study",104.293689332,706544,"Improving Accessibility of Transaction-centric Web Objects."
283,scheduling,68.42647257600001,1709540,"An Extended Fixed Priority Scheme for Mixed Criticality Systems"
285,"hidden markov model",100.693692238,18083827,"System and method for quantifying, representing, and identifying similarities in data streams"
286,"game theory",0,1078805,"A framework for the design and synthesis of coordinated social systems"
287,benchmarking,38.52733689,9142383,"Benchmarking Spatial Big Data"
288,algorithms,579.9997032000001,277504,"RC6 as the AES."
289,"natural language processing",39.4835951874,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
290,"reverse engineering",38.156136983699994,22075568,"Proceedings of the 5th international symposium on Software visualization"
291,"mobile phone",31.5974335636,9607434,"Quantifying reciprocity in large weighted communication networks"
292,"linear logic",11.953536742899999,28296052,"Structural Cut Elimination in Linear Logic."
293,video,184.126996367,1497272,"Scoring an Interactive, Multimedia Performance Work"
294,"data science",0.59875646688,133394268,"Data science and machine learning at scale"
295,"polynomial time",86.01437702,2339302,"A computational analysis of human genetic variation"
296,"fourier transform",36.1328474881,44541345,"MBC Optimization Techniques"
297,"reinforcement learning",48.8542426596,361876,"Rational and convergent learning in stochastic games"
298,education,211.22012064900002,516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis"
299,"data mining",72.324948674,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
300,"gesture recognition",136.033028148,2308663,"State-Based Recognition of Gesture"
301,"social media",35.283359321599995,9991798,"Personality Modeling Based Image Recommendation"
302,scheduling,41.2295504676,1709540,"An Extended Fixed Priority Scheme for Mixed Criticality Systems"
303,"image segmentation",47.932157249199996,4182552,"Autonomous aerial navigation and tracking of marine animals"
304,"static analysis",40.3898312,13579519,"A Colored Petri Net-Based Approach for Automated Deadlock Detection in Parallel Programs"
305,"memory hierarchy",339.96581406,3528745,"Cache-Oblivious Algorithms and Data Structures"
306,"fault tolerance",347.205110643,4013337,"Proactive Fault Tolerance in Large Systems"
307,"social media",132.40046265599997,9991798,"Personality Modeling Based Image Recommendation"
308,"user study",54.98981850599999,706544,"Improving Accessibility of Transaction-centric Web Objects."
309,"deep learning",122.97656714800002,6468916,"Boltzmann Machines for Image Denoising"
310,"greedy algorithm",43.672710454400004,60717695,"Learning and Predicting Dynamic Behavior with Graphical Multiagent Models"
311,"parallel programming",89.246035665,2394243,"Performance prediction of parallel programs"
312,"image segmentation",2406.7143729,4182552,"Autonomous aerial navigation and tracking of marine animals"
313,"link prediction",76.693031582,11193629,"Drug-Target Interaction Prediction Using Semantic Similarity and Edge Partitioning"
314,"anomaly detection",66.44269649600001,4333350,"A Multi-graph Spectral Framework for Mining Multi-source Anomalies"
315,"overlay network",366.972433272,12836763,"Mitigating Byzantine Attacks in Ad Hoc Wireless Networks"
316,"data mining",424.325792472,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
317,"reinforcement learning",3.6440781176099994,361876,"Rational and convergent learning in stochastic games"
318,gpu,29.0280515014,19091323,"Navigating Wikipedia with the Zoomable Adjacency Matrix Explorer"
319,e-learning,67.425680448,39225770,"Educational Modeling Languages"
320,"natural language processing",389.987983314,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
321,cryptography,26.528472794000002,3168804,"Two-Party Computation Model for Privacy-Preserving Queries over Distributed Databases."
322,"load balancing",184.64501511,2049211,"Big Data Frequent Pattern Mining"
323,"social networks",600.5090966,7077119,"Modeling and analysis of massive social networks"
324,java,61.79573196589999,777162,"Object-oriented Programming Languages Need Well-founded Contracts"
325,semantics,210.455941386,267417,"Continuation Semantics in Typed Lambda-Calculi (Summary)"
326,"convex optimization",46.5020242752,1944672,"Foundations of Machine Learning"
327,"social media",320.56947795599996,9991798,"Personality Modeling Based Image Recommendation"
328,"computer vision",30.308557684799997,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
329,"supervised learning",52.5491981236,234105,"Learning to Merge Word Senses"
330,"cloud computing",156.032707125,1748331,"Remote Procedure Calls and the Client/Server Model"
331,"open data",23.2132065762,102708294,"DBpedia: a nucleus for a web of open data"
332,"load balancing",214.94919907800002,2049211,"Big Data Frequent Pattern Mining"
333,"artificial intelligence",400.57819774899997,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
334,performance,61.967669016,4013337,"Proactive Fault Tolerance in Large Systems"
335,"wireless sensor networks",7989.813182,11088318,"Geometric Routing in Wireless Sensor Networks"
336,requirements,10.337282047199999,3863888,"Precision 3-D Modeling for Autonomous Helicopter Flight"
337,"access control",302.322395068,1673282,"Hardening Access Control and Data Protection in GFS-like File Systems"
338,"mutual information",18.8567287008,1367335,"An evaluation of using mutual information for selection of acoustic-features representation of phonemes for speech recognition"
